Timestamp,Name,Latitude,Longitude,Count
9/28/2020 0:00,Atki,35.30589304,-80.73214474,76
9/28/2020 1:00,Burs,35.30753454,-80.73236613,42
9/28/2020 2:00,Cato,35.30550549,-80.7287302,8
9/28/2020 3:00,Denn,35.30546444,-80.7298437,12
9/28/2020 4:00,BelH,35.310418211085846,-80.73462543774332,20
9/28/2020 5:00,Came,35.3077865349813,-80.73119368119363,32
9/28/2020 6:00,Colv,35.30460541601236,-80.73173933083798,100
9/28/2020 7:00,Epic,35.309025939422504,-80.74162792370868,1
9/28/2020 8:00,Epic,35.309025939422504,-80.74162792370868,30
9/28/2020 9:00,Epic,35.309025939422504,-80.74162792370868,120
9/28/2020 10:00,Epic,35.309025939422504,-80.74162792370868,10
9/28/2020 11:00,Epic,35.309025939422504,-80.74162792370868,100
9/28/2020 12:00,Epic,35.309025939422504,-80.74162792370868,50
